origin,destination,bike_rf1_duration,bike_rf2_duration,bike_rf3_duration,bike_rf4_duration,bike_rf5_duration,bike_rf6_duration,bike_rf7_duration,bike_rf8_duration,bike_rf9_duration,bike_rf10_origin,bike_rf10_destination,bike_rf10_duration,bike_rf11_origin,bike_rf11_destination,bike_rf11_duration,ebike_th1_duration,bike_vf1_duration
Schwamendingerplatz,Milchbuck,,,,,,,,,,,,,,,,,
Schwamendingerplatz,Stettbach,500,,,,,,,,,,,,,,,,
Seilbahn Rigiblick,ETH Hauptgebäude,,,,,,,,,,,,,,,,,
Seilbahn Rigiblick,Römerhof,583,,,,,,,,,,,,,,,,
Seilbahn Rigiblick,Schaffhauserplatz,141,,,,,,,,,,,,,,,,
Sihlcity,Rote Fabrik,587,,,,,,,,,,,,,,,,
Stettbach,Schwamendingerplatz,,,,,,,,,,,,,,,,,
Stettbach,Dübendorf Bahnhof,636,,,,,,,,,,,,,,,,
Triemli,Letzigrund (Tram),364,,,,,,,,,,,,,,,,
Werdinsel,Meierhofplatz,571,,,,,,,,,,,,,,,,
Werdinsel,Bahnhof Altstetten,270,,,,,,,,,,,,,,,,
Werdinsel,Hardturm,255,240,240,,,,,,,,,,,,,,
Zehntenhausplatz,ETH Hönggerberg,524,,,,,,,,,,,,,,,,
Zoo (Tram),Römerhof,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Average (only temporary),,347,,,,,,,,,,,,,,,,
